"Name"	"Set"	"ImageFile"	"Rarity"	"Unique"	"CollectorsInfo"	"Type"	"Cost"	"Mission"	"DilemmaType"	"Span"	"Points"	"Quadrant"	"Affiliation"	"Icons"	"Staff"	"Keywords"	"Class"	"Species"	"Skills"	"Integrity"	"Range"	"Cunning"	"Weapons"	"Strength"	"Shields"	"gametext"	"HoF"
"Agonizing Encounter *VP"	"VP"	"STVP-EN019"	"VP"	"N"	"0VP019"	"Dilemma"	"5"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"For each headquarters you command, this dilemma is cost -1. Your opponent names a skill. For each of your missions that requires that skill, randomly select a personnel to be stopped."	"N"
"Ardent Predator"	"Tapestry"	"STVE-EN27001"	"V"	"N"	"27V001"	"Dilemma"	"2"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select two personnel. Unless those personnel have Exobiology and Cunning>11 or Strength>13, those personnel are killed."	"Y"
"Adopted Authority"	"US"	"ST2E-EN29001"	"V"	"N"	"29V001"	"Dilemma"	"3"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select a personnel. Unless that personnel has an attribute<5, he or she and a second randomly selected personnel are stopped and this dilemma returns to its owner's dilemma pile. Otherwise, he or she is stopped."	"N"
"Alternatives to Fighting"	"ATtS"	"STVE-EN36001"	"V"	"N"	"36V001"	"Dilemma"	"3"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unless you have Navigation and Weapons>7 or this mission is a {Nebula} mission, place your ship at a Nebula mission. If you cannot, all your personnel are stopped and place this dilemma on your ship. Damage - This ship is attributes -2."	"Y"
"Garak Has Some Issues"	"OD"	"STVE-EN50001"	"V"	"N"	"50V001"	"Dilemma"	"4"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Your opponent names a skill (except Acquisition, Intelligence, Law, or Telepathy). Randomly select three personnel. Each selected personnel who has that skill is stopped. Then kill each selected unstopped [Car] personnel."	"Y"
"Clashing Values"	"Ph"	"STVE-EN63001"	"V"	"N"	"63V001"	"Dilemma"	"2"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select three personnel. Each of those personnel that does not have Anthropology or Science is stopped."	"Y"
"Ghosts of Reality"	"WNOHGB"	"STVE-EN66001"	"V"	"N"	"66V001"	"Dilemma"	"5"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select personnel until you select a Telepathy personnel or the selected personnel have any attribute>20. Each selected personnel is killed."	"Y"
"Becalmed"	"ATtS"	"STVE-EN36002"	"V"	"N"	"36V002"	"Dilemma"	"0"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Add the span of this mission to this dilemma's cost. Randomly select three personnel. Each of those personnel with an attribute>6 is stopped."	"Y"
"More of Gravy Than of Grave"	"SL"	"STVE-EN53002"	"V"	"N"	"53V002"	"Dilemma"	"4"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select three personnel. Unless your unselected personnel have the skills on the selected personnel, the selected personnel are stopped."	"Y"
"Derelict Robot"	"Ph"	"STVE-EN63002"	"V"	"N"	"63V002"	"Dilemma"	"3"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select three personnel. Each of those personnel that does not have Diplomacy or Engineer is stopped."	"Y"
"Local Trouble"	"WNOHGB"	"STVE-EN66002"	"V"	"N"	"66V002"	"Dilemma"	"4"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unless you have Engineer, Leadership, 2 Security, and Cunning>38 or Weapons>7 and you command a [HQ] mission in a different quadrant, randomly select two personnel to be killed."	"Y"
"Indecent Proposal"	"SB"	"STVE-EN33003ab"	"V"	"N"	"33V003"	"Dilemma"	"3"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select a personnel who costs 5 or more to be stopped. If you cannot, your opponent chooses a personnel to be stopped. If a personnel who costs 5 or more was stopped by this dilemma, return this dilemma to its owner's dilemma pile."	"Y"
"Telepathology"	"WNOHGB"	"STVE-EN66003"	"V"	"N"	"66V003"	"Dilemma"	"3"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Reveal the top five cards of your deck. Unless you have 2 Diplomacy, 2 Medical, and Telepathy or the skills on the personnel revealed this way, randomly select three personnel to be stopped and discard each revealed event and interrupt."	"Y"
"Chula: The Chandra"	"WYLB"	"WYLB004"	"U"	"N"	"14U004"	"Dilemma"	"4"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select a personnel. Repeat this until you select a personnel with a cost equal to or greater than the first personnel that you selected. Stop each selected personnel."	"N"
"Healing Hand"	"PP"	"STVE-EN22004"	"V"	"N"	"22V004"	"Dilemma"	"2"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Choose a Medical personnel to be stopped. Unless the personnel stopped by this dilemma has 2 Medical, this dilemma returns to its owner's dilemma pile."	"N"
"Intimidation"	"Lineage"	"STVE-EN26004"	"V"	"N"	"26V004"	"Dilemma"	"4"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select a personnel. Repeat this until you select a personnel of a different species than the first personnel that you selected. Stop each selected personnel."	"N"
"Hard of Heart"	"HT"	"STVE-EN38004"	"V"	"N"	"38V004"	"Dilemma"	"2"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select two personnel. Unless those personnel have Geology and Cunning>11 or Strength>13, those personnel are killed."	"Y"
"Honorable Pursuit"	"PP"	"STVE-EN22005"	"V"	"N"	"22V005"	"Dilemma"	"2"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Choose an Honor personnel to be stopped. Unless the personnel stopped by this dilemma has 2 Honor, this dilemma returns to its owner's dilemma pile."	"N"
"The Phase"	"SOA"	"STVE-EN49005"	"V"	"N"	"49V005"	"Dilemma"	"2"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Choose a personnel who has [Cmd] and Officer or an Android or a Hologram to be stopped. If you cannot, randomly select personnel until their total cost is 4 or more. Place those personnel on the bottom of their owner's deck."	"Y"
