"Name"	"Set"	"ImageFile"	"Rarity"	"Unique"	"CollectorsInfo"	"Type"	"Cost"	"Mission"	"DilemmaType"	"Span"	"Points"	"Quadrant"	"Affiliation"	"Icons"	"Staff"	"Keywords"	"Class"	"Species"	"Skills"	"Integrity"	"Range"	"Cunning"	"Weapons"	"Strength"	"Shields"	"gametext"	"HoF"
"Emergency Evacuation"	"FotE"	"STVE-EN35005"	"V"	"Y"	"35V005"	"Event"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Plays in your core. While you command more than one ship, destroy this event. Order - Take your personnel aboard your ship and place him or her on this event. Order - Take your personnel from this event and place him or her on your ship."	"Y"
"Miracle Working"	"FotE"	"STVE-EN35006"	"V"	"N"	"35V006"	"Event"	"1"	""	""	""	""	""	""	""	""	"Recall: 1."	""	""	""	""	""	""	""	""	""	"To play this event, you must command a ship with four or more staffing icons. Draw four cards, then place three cards from hand on the bottom of your deck. Destroy this event."	"Y"
"Security Drills *VP"	"VP"	"STVP-EN107"	"VP"	"N"	"0VP107"	"Event"	"0"	""	""	""	""	""	""	""	""	"Decay: 5."	""	""	""	""	""	""	""	""	""	"Plays in your core. While your personnel is facing a dilemma, you may place a [Fed] card from hand on this event to make that personnel gain a skill he or she already has until the end of that dilemma."	"N"
"Thirst for Knowledge"	"LD"	"STVE-EN34012"	"V"	"Y"	"34V012"	"Event"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"When you play this event, it is cost -1 for each space mission you command. Plays in your core. While your personnel are attempting a space mission worth 35 or fewer points, if you command a completed space mission, they are attributes +1."	"Y"
"Christening"	"TITW"	"STVE-EN24013"	"V"	"N"	"24V013"	"Event"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Reveal your hand. If you do not command a ship and you do not reveal a ship from hand, this event is cost -3. Download a ship. Destroy this event."	"Y"
"Tampering With Time"	"FT"	"ST2E-EN05014ab"	"P"	"N"	"5P014"	"Event"	"3"	""	""	""	""	""	""	""	""	"Temporal."	""	""	""	""	""	""	""	""	""	"Plays in your core. At the start of each of your turns, you may choose one: stop one of your [Fut] personnel to examine the top three cards of an opponent's dilemma pile; or stop one of your [Pa] personnel to examine the bottom three cards of an opponent's dilemma pile. Place those cards on the top and/or bottom of that dilemma pile in any order."	"Y"
"Unexpected Difficulties *VP"	"VP"	"STVP-EN015c"	"VP"	"N"	"0VP015"	"Event"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Plays in your core. When you have drawn dilemmas, you may destroy this event to return them to your dilemma pile and draw an equal number of dilemmas."	"N"
"Tacking Into the Wind"	"Unity"	"STVE-EN25016"	"V"	"N"	"25V016"	"Event"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"This event is cost -2 for each completed mission the opponent on your left commands. Choose one: download a ship; destroy an event; or shuffle up to ten cards that are personnel or ships from your discard pile into your deck. Remove this event from the game."	"N"
"Finding Our Way"	"CL"	"st2e-en10027a"	"C"	"N"	"10C027"	"Event"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"To play this event, you must not command a headquarters mission. Plays on your {Caretaker's Array}. Cards an opponent owns cannot prevent or destroy this event. When a card instructs you to place a personnel on your headquarters mission, that personnel may be placed aboard your [Voy] ship instead. Order - Discard a card from hand to download a [Voy] ship. You may do this only once each turn."	"Y"
"The Long Journey Home"	"CL"	"st2e-en10036"	"R"	"N"	"10R036"	"Event"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"To play this event, you must command three [Voy] personnel. Plays on your {Caretaker's Array}. When you command four completed [DQ] space missions and have 100 or more points, you win the game."	"Y"
"Field Studies *VP"	"VP"	"STVP-EN131a"	"VP"	"N"	"0VP131"	"Event"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"To play this event, you must command acompleted mission and three [Fed] personnel at your space mission. Lose 5 points to reveal the top two cards of an opponent's dilemma pile. Place face up beneath that mission any dilemmas that could be faced there. Replace the remaining cards in any order. Destroy this event."	"N"
"Surprise Party"	"VP"	"STVP-EN397"	"VP"	"Y"	"0VP397"	"Event"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Plays in your core. You may spend an additional counter each turn."	"N"
