"Name"	"Set"	"ImageFile"	"Rarity"	"Unique"	"CollectorsInfo"	"Type"	"Cost"	"Mission"	"DilemmaType"	"Span"	"Points"	"Quadrant"	"Affiliation"	"Icons"	"Staff"	"Keywords"	"Class"	"Species"	"Skills"	"Integrity"	"Range"	"Cunning"	"Weapons"	"Strength"	"Shields"	"gametext"	"HoF"
"Miral Paris Daughter of B'Elanna"	"ALPU"	"STVE-EN48012"	"V"	"Y"	"48V012"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Stf][E][Fut]"	""	""	""	"Human/Klingon"	"Anthropology Diplomacy Engineer Honor Programming"	"6"	"6"	"6"	"6"	"7"	"7"	"When this personnel enters play, you may take a non-Artifact equipment that costs 2 or less from your discard pile and place it present with this personnel."	"Y"
"Daniels Timeless Guardian"	"WNOHGB"	"STVE-EN66017"	"V"	"Y"	"66V017"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][Fut]"	""	"Infiltrator."	""	"Alien/Human"	"Anthropology Archaeology Engineer Intelligence Programming Security"	"6"	"6"	"6"	"6"	"6"	"6"	"You may play this personnel aboard your [Sta] ship."	"Y"
"Anthony Braxton Forward-thinking Recruiter"	"MoT"	"STVE-EN28026"	"V"	"Y"	"28V026"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][Fut]"	""	"Commander: U.S.S. Relativity."	""	"Human"	"Anthropology Leadership Navigation Officer"	"5"	"5"	"6"	"6"	"5"	"5"	"When you play this personnel, you may download a [Fed] personnel."	"Y"
"Naomi Wildman Astrometrics Officer"	"TSOP"	"STVE-EN18027ab"	"V"	"Y"	"18V027"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][Voy][Fut]"	""	""	""	"Human/Ktarian"	"Astrometrics Engineer Honor Science"	"6"	"6"	"6"	"6"	"5"	"5"	"While this personnel is facing a dilemma, you may destroy your Temporal event that has a cost greater than or equal to the cost of that dilemma to make each random selection made by that dilemma your choice instead. This effect lasts until the end of the mission attempt."	"Y"
"Juel Ducane Above Reproach"	"MoT"	"STVE-EN28030"	"V"	"Y"	"28V030"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Cmd][Fut]"	""	"Commander: U.S.S. Relativity."	""	"Human"	"Anthropology Diplomacy Law Leadership Navigation Officer Transporters"	"6"	"6"	"6"	"6"	"6"	"6"	"When you play this personnel, you may take a [Fed] personnel from your discard pile and place him or her aboard your Temporal ship."	"Y"
"Harry Kim Remorseful Survivor"	"LD"	"STVE-EN34030"	"V"	"Y"	"34V030"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][Voy][Fut]"	""	"Thief."	""	"Human"	"Astrometrics Navigation Science Transporters Treachery"	"4"	"4"	"7"	"7"	"5"	"5"	"When you play this personnel, you may examine the top four cards of your deck. You may reveal an interrupt or a Temporal card and take it into hand. Place the remaining cards on the bottom of your deck in any order."	"Y"
"Marris"	"MoT"	"STVE-EN28031"	"V"	"N"	"28V031"	"Personnel"	"1"	""	""	""	""	""	"Federation"	"[Stf][Fut]"	""	""	""	"Alien"	"Biology Geology Navigation Physics Security"	"5"	"5"	"6"	"6"	"6"	"6"	"When you play this personnel, discard a card from hand."	"Y"
"Nog Defiant Captain"	"MoT"	"STVE-EN28032"	"V"	"Y"	"28V032"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Cmd][DS9][Fut]"	""	"Commander: U.S.S. Defiant."	""	"Ferengi"	"Acquisition Diplomacy Engineer Honor Officer Physics"	"7"	"7"	"6"	"6"	"5"	"5"	"While this personnel is aboard your [DS9] ship, it is attributes +1 for each [Fut] personnel aboard (limit +4)."	"Y"
"Seven of Nine Undercover Operative"	"MoT"	"STVE-EN28036"	"V"	"Y"	"28V036"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][Voy][Fut]"	""	"Infiltrator."	""	"Borg"	"Engineer Physics Programming Science"	"5"	"5"	"7"	"7"	"6"	"6"	"When you play this personnel, if you command a Temporal ship, you may download {Temporal Transporters}."	"Y"
"Simmons"	"MoT"	"STVE-EN28037"	"V"	"N"	"28V037"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][Fut]"	""	""	""	"Human"	"Archaeology Astrometrics Engineer Science"	"6"	"6"	"6"	"6"	"5"	"5"	"When you play this personnel, you may draw three cards and discard two cards from hand."	"Y"
