Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission	DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity	Range	Cunning	Weapons	Strength	Shields	gametext	HoF
"Data Lucasian Chair"	"WYLB"	"WYLB078"	"R"	"Y"	"14R078"	"Personnel"	"5"	""	""	""	""	""	"Federation"	"[Stf][TNG][Fut]"	""	""	""	"Android"	"2 Astrometrics Engineer Exobiology Physics Programming 2 Science"	"6"	"6"	"10"	"10"	"10"	"10"	"When you play this personnel, if you have completed a mission requiring Diplomacy or Leadership, he is cost -4."	"Y"
"William T. Riker Wistful Admiral"	"R2"	"ST2E-EN06053"	"P"	"Y"	"6P053"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][TNG][Fut]"	""	"Admiral. Commander: U.S.S. Enterprise-D."	""	"Human"	"Leadership Navigation Officer Security"	"5"	"5"	"6"	"6"	"5"	"5"	"While this personnel is attempting a space mission, he is attributes +1 and gains Diplomacy and Law."	"Y"
"Tasha Yar Tactical Officer"	"FT"	"ST2E-EN05029"	"P"	"Y"	"5P029"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][TNG][AU]"	""	""	""	"Human"	"Engineer Honor Leadership Security"	"7"	"7"	"5"	"5"	"6"	"6"	"While this personnel is attempting a mission, you may place her on top of her owner's deck to prevent one of your personnel present from being stopped by dilemmas until the end of this turn."	"Y"
"Worf First Officer"	"FT"	"ST2E-EN05030"	"P"	"Y"	"5P030"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][TNG][AU]"	""	""	""	"Klingon"	"Honor Leadership Navigation Officer"	"7"	"7"	"5"	"5"	"8"	"8"	"While this personnel is facing a dilemma, you may discard two cards from hand to exchange a [TNG] personnel you own present with a [TNG] personnel who has the same cost from your hand."	"Y"
"Data Commanding Officer"	"X"	"ST2E-EN00010"	"P"	"Y"	"0P010"	"Personnel"	"5"	""	""	""	""	""	"Federation"	"[Cmd][E]"	""	"Commander: U.S.S. Sutherland."	""	"Android"	"Engineer Leadership Officer Physics Programming"	"6"	"6"	"10"	"10"	"10"	"10"	"Order - Discard a card from hand to name a card. When an opponent plays that card, score 5 points. This effect lasts until the start of your next turn. You may do this only once each turn."	"Y"
"Jean-Luc Picard Starship Captain"	"X"	"ST2E-EN00011"	"P"	"Y"	"0P011"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][TNG]"	""	"Commander: U.S.S. Enterprise-D."	""	"Human"	"Diplomacy Honor Law Leadership Navigation Officer"	"8"	"8"	"6"	"6"	"6"	"6"	"Order - This personnel loses Diplomacy, Law, and Navigation and gains Anthropology, Archaeology, and Science until the end of this turn. You may do this only once each turn."	"Y"
"Beverly Crusher Chief Physician"	"NE"	"ST2E-EN04133"	"R"	"Y"	"4R133"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][TNG]"	""	""	""	"Human"	"Biology Exobiology 2 Medical"	"6"	"6"	"6"	"6"	"4"	"4"	"When this personnel is stopped by a dilemma, you may take a [TNG] personnel from your discard pile into hand."	"Y"
"Deanna Troi Ship's Counselor"	"NE"	"ST2E-EN04135a"	"U"	"Y"	"4U135"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][TNG]"	""	""	""	"Betazoid/Human"	"Anthropology Diplomacy Honor Telepathy"	"6"	"6"	"5"	"5"	"4"	"4"	"Order - If this personnel is present with an opponent's personnel, stop this personnel to examine that opponent's hand and choose a non-ship card to place on the bottom of his or her deck."	"Y"
"Geordi La Forge Conn Officer"	"NE"	"ST2E-EN04137"	"U"	"Y"	"4U137"	"Personnel"	"1"	""	""	""	""	""	"Federation"	"[Stf][TNG]"	""	""	""	"Human"	"Astrometrics Navigation Officer"	"6"	"6"	"6"	"6"	"5"	"5"	"While this personnel is on a planet, he loses Astrometrics, Navigation and Officer and gains Engineer, Physics and Programming."	"Y"
"Kira Nerys Starfleet Emissary"	"R2"	"ST2E-EN06050a"	"P"	"Y"	"6P050"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][DS9]"	""	""	""	"Bajoran"	"Leadership Officer Security"	"6"	"6"	"6"	"6"	"6"	"6"	"You may play this personnel at [HQ]{Bajor} or [HQ]{Cardassia Prime}. While this personnel is facing a dilemma, you may discard an event from hand to make a non-Bajoran personnel present attributes +2 until the end of that dilemma."	"Y"
