CollectorsInfo	gametext
# Dilemma bold markup extracted from db_for_achievements.sql.
1C003	Unless you have <b>2 Engineer and Physics</b> or <b>Medical and Transporters</b>, randomly select three personnel to be stopped.
1C004	Unless you have <b>a personnel who has 2 Anthropology</b> or <b>a personnel who has 2 Telepathy</b>, your opponent chooses an Anthropology or Telepathy personnel to be stopped.  If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C006	Unless you have <b>2 Security</b> or <b>Cunning>26</b>, your opponent chooses a personnel (except an Android or a Shape-shifter) to be killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C008	Unless you have <b>a personnel who has 2 Anthropology</b> or <b>a personnel who has 2 Archaeology</b>, your opponent chooses an Anthropology or Archaeology personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C009	Unless you have <b>2 Security</b> or <b>a Hand Weapon</b>, randomly select a personnel to be killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C012	Unless you have <b>a personnel who has 2 Engineer</b> or <b>a personnel who has 2 Programming</b>, your opponent chooses an Engineer or Programming personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C013	Unless you have <b>2 Archaeology</b> or <b>2 Geology</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C014	Unless you have <b>3 Security</b> or <b>a Hand Weapon and Cunning>28</b> or <b>{Quark}</b>, your opponent chooses a Treachery personnel to be killed, then all your other personnel are stopped.
1C018	Unless you have <b>2 Engineer</b> or <b>2 Programming</b>, choose a personnel who has Medical or Science to be stopped, then this dilemma returns to its owner's dilemma pile.
1C019	Unless you have <b>Engineer and Physics</b> or <b>2 Exobiology</b>, all your Medical personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C021	Unless you have <b>2 Science and 2 Security</b> or <b>3 Treachery</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C022	Unless you have <b>Astrometrics</b> or <b>Navigation</b>, all your Engineer personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C031	Unless you have <b>Engineer and 2 Programming</b> or <b>2 Medical</b>, all your personnel are stopped.
1C036	Choose a personnel who has <b>Astrometrics</b> or <b>Navigation</b> to be stopped. If you cannot, randomly select a personnel to be killed.
1C037	Unless you have <b>a personnel who has 2 Exobiology</b> or <b>a personnel who has 2 Geology</b>, your opponent chooses an Exobiology or Geology personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C038	Randomly select a [Cmd] personnel to be stopped.  Unless you have <b>Diplomacy and 2 Honor</b> or <b>2 Security</b> or <b>{Miles O'Brien}</b>, that personnel is killed instead.
1C040	Unless you have <b>2 Anthropology</b> or <b>3 Diplomacy</b> or <b>Strength>35</b>, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C041	Randomly select a personnel to be stopped. Unless you have <b>Diplomacy and Medical</b> or <b>2 Security</b>, that personnel is killed instead, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C044	Choose a personnel who has <b>Geology</b> or <b>Programming</b> to be stopped. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C048	Unless you have <b>a personnel who has 2 Biology</b> or <b>a personnel who has 2 Medical</b>, your opponent chooses an Biology or Medical personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C050	Unless you have <b>a personnel who has 2 Physics</b> or <b>a personnel who has 2 Science</b>, your opponent chooses an Physics or Science personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
1C052	Choose a personnel who has <b>Engineer</b> or <b>Programming</b> to be stopped. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
