# Optional NAME/TITLE overrides, one per card, for when OCR inference is wrong.
# Format (tab-separated): CollectorsInfo<TAB>Name<TAB>Title
# Empty by default — reconstruct_card.py infers the split by OCR otherwise.
CollectorsInfo	Name	Title
6P050	Kira Nerys	Starfleet Emissary
2U124	Julian Bashir	"Unnatural Freak"
1S390	U.S.S. Akira
2C172	Maquis Raider
13R096	Slar	Gorn Slave Master
13R119	Defiant	Mirror Warship
6P042	Annexation Drone
6P043	Requisitions Drone
3C198	Borg Cube
3S199	Borg Sphere
# Set-1 Klingon personnel: Klingon scan typography defeats the OCR-based split.
1R293	B'Etor	Sister of Duras
1R294	Bo'rak	Klingon Intelligence Agent
1R296	Duras	Son of a Traitor
1S297	Gowron	Leader of the High Council
1S299	K'nera	Klingon Defense Force Commander
1S300	Kahlest	GhojmoH of Worf
1R302	Kang	Honored Warrior
1S303	Kitrik	"The Tyrant Molor"
1R304	Koloth	D'akturak
1R305	Kor	Dahar Master
1U306	Koroth	High Cleric of Boreth
1R308	Kurak	Warp Field Specialist
1R309	Kurn	Squadron Commander
1R310	Lursa	Sister of Duras
1R311	Martok	Soldier of the Empire
1R313	Morka	Klingon Intelligence Agent
1R314	Nu'Daq	Tenacious Rival
